label,clients,repeat,rate,principal,constrained,completed,failed,qps,p50_ms,p95_ms,p99_ms,short_p99_ms,peak_rss,peak_container_sampled,container_lifetime_peak,cpu_seconds,spill_bytes,spill_active_after
confirm-2-groups-normal,4,0,0.0,user,False,128,0,30.662168765253668,140.16646705567837,243.46757598686963,259.7099320264533,24.524220963940024,714776576,699641856,747474944,22.806721,0.0,0.0
confirm-2-groups-normal,8,0,0.0,user,False,128,0,32.04407920201885,272.7995819877833,497.3789210198447,570.8998870104551,29.48387200012803,1329397760,1316347904,1361444864,22.951682,0.0,0.0
confirm-2-groups-normal,16,0,0.0,user,False,128,0,32.46630041329054,495.77465502079576,1017.3427899135277,1129.5823219697922,67.16795708052814,2692993024,2683387904,2686795776,23.114987,0.0,0.0
confirm-2-groups-normal,32,0,0.0,user,False,128,0,32.42988626772135,619.5455150445923,3423.8293149974197,3924.1466149687767,306.6591400420293,4515328000,4510818304,4551712768,23.048281,0.0,0.0
confirm-2-groups-tight,1,0,0.0,user,True,128,0,19.181038429249305,38.90257002785802,106.70313192531466,109.32970698922873,6.621189997531474,239927296,220897280,222478336,21.658015,0.0,0.0
confirm-2-groups-tight,4,0,0.0,user,True,128,0,28.867709836954614,103.33100508432835,257.67222698777914,265.8127489266917,17.175576998852193,467922944,450809856,452452352,23.51268,0.0,0.0
confirm-2-groups-tight,8,0,0.0,user,True,128,0,30.4187892285464,219.98285490553826,525.0370429130271,579.5322719495744,30.55407991632819,656334848,641622016,666828800,23.846622,0.0,0.0
confirm-2-groups-tight,16,0,0.0,user,True,128,0,31.194366287075404,429.4981600251049,1202.176921069622,1376.7413549358025,51.90335004590452,1014960128,1001635840,1004158976,23.701056,0.0,0.0
confirm-2-groups-tight,32,0,0.0,user,True,128,0,30.95466494209432,696.599846938625,2649.3297750130296,3834.546742029488,206.29103598184884,1610817536,1599463424,1612644352,23.754305,0.0,0.0
confirm-3-baseline-normal,1,0,0.0,user,False,128,0,20.46073403527953,39.792005089111626,100.13217700179666,101.19140695314854,6.688690045848489,378040320,357994496,368291840,23.486101,0.0,0.0
confirm-3-baseline-normal,4,0,0.0,user,False,128,0,30.22291940442911,137.79007096309215,261.8469059234485,298.9493430359289,22.50900596845895,794394624,778870784,780259328,23.19516,0.0,0.0
confirm-3-baseline-normal,8,0,0.0,user,False,128,0,31.732331217220697,277.2315719630569,460.11147799436003,496.51814601384103,28.31396192777902,1308921856,1295224832,1430552576,23.051574,0.0,0.0
confirm-3-baseline-normal,16,0,0.0,user,False,128,0,32.25818896411875,487.91908600833267,1144.5577590493485,1462.0509040541947,56.61587102804333,2706444288,2696585216,2697109504,23.14853,0.0,0.0
confirm-3-baseline-normal,32,0,0.0,user,False,96,32,32.84766927412884,583.8716049911454,2846.5606439858675,2908.5898459888995,312.91466706898063,3844382720,3837386752,3888652288,17.0272,0.0,0.0
confirm-3-baseline-tight,1,0,0.0,user,True,96,32,16.831174873889843,59.398045064881444,110.07648706436157,110.78962997999042,6.114306044764817,246702080,227434496,231116800,18.311288,0.0,0.0
confirm-3-baseline-tight,4,0,0.0,user,True,96,32,25.038924684892205,210.41006909217685,251.74934195820242,261.3813249627128,19.254390965215862,477409280,460230656,460918784,20.03557,0.0,0.0
confirm-3-baseline-tight,8,0,0.0,user,True,96,32,26.506539168438433,371.2094631046057,523.12054799404,547.7493980433792,29.47715693153441,684937216,670838784,672493568,20.482025,0.0,0.0
confirm-3-baseline-tight,16,0,0.0,user,True,96,32,27.0217786173123,627.5541209615767,1152.2755490150303,1393.1085800286382,55.06765597965568,995221504,981471232,1017413632,20.301767,0.0,0.0
confirm-3-baseline-tight,32,0,0.0,user,True,96,32,27.11854268009986,754.2844410054386,3471.5505950152874,3533.524430007674,251.53653509914875,1527885824,1515737088,1527873536,20.390601,0.0,0.0
confirm-3-groups-normal,1,0,0.0,user,False,128,0,20.85835258411498,38.73794397804886,97.8009010432288,98.7007049843669,6.922094034962356,402677760,384344064,387166208,22.926808,0.0,0.0
confirm-3-groups-normal,4,0,0.0,user,False,128,0,30.745206893263926,135.5951059376821,247.2731419838965,257.3406599694863,24.3548930156976,724672512,710111232,726056960,22.806233,0.0,0.0
confirm-3-groups-normal,8,0,0.0,user,False,128,0,32.193133545767665,276.9960860023275,456.76627091597766,577.9786460334435,28.536960016936064,1460957184,1447768064,1499955200,22.84315,0.0,0.0
confirm-3-groups-normal,16,0,0.0,user,False,128,0,32.59831338780855,442.6468759775162,1066.132646985352,1167.9823249578476,52.57484607864171,2393133056,2382622720,2430824448,22.954097,0.0,0.0
confirm-3-groups-normal,32,0,0.0,user,False,128,0,32.4681226733462,589.2474090214819,3780.283753061667,3889.3017950467765,393.845463055186,3690504192,3683610624,3774763008,23.130502,0.0,0.0
confirm-3-groups-tight,1,0,0.0,user,True,128,0,19.162266520269764,38.29599393066019,107.03957709483802,108.40367898344994,6.743911071680486,231014400,211243008,215961600,21.577129,0.0,0.0
confirm-3-groups-tight,4,0,0.0,user,True,128,0,28.790938786251324,92.11612702347338,257.13546201586723,273.44666002318263,20.702771027572453,471646208,455667712,461869056,23.344085,0.0,0.0
confirm-3-groups-tight,8,0,0.0,user,True,128,0,30.651894602449232,215.3897270327434,520.0444230576977,555.9607100440189,30.293588992208242,652369920,637333504,650874880,23.624393,0.0,0.0
confirm-3-groups-tight,16,0,0.0,user,True,128,0,30.975871538563073,459.14354105480015,1211.3582199672237,1385.346447932534,59.38397208228707,989241344,976797696,1024327680,23.681299,0.0,0.0
confirm-3-groups-tight,32,0,0.0,user,True,128,0,30.893717069020735,704.8991150222719,3039.1642140457407,4117.005540989339,227.48474101535976,1595293696,1583239168,1600524288,23.77142,0.0,0.0
